day,title,summary,start,end,type,location,categories
Thursday,"CSR – How the Group is making a positive impact","Introducing why and how VivaTechnology 2017 will shed light on Positive Impact.
With:
Laurence PESSEZ, BNP Paribas, Head of the CSR Department
Christian DE BOISREDON, Sparknews
Bruno VINAY, Viva Technology
Location: Lab BNP Paribas – C16",09:00,10:30,"Partners Program",,"#finance&insurance\n#peoplematter\n#positiveimpact"
Thursday,"Pitch AccorHotels Innovation Awards Group 1","Location: Lab AccorHotels – M21",09:00,10:00,Pitches&Demos,,"#hospitality\n#marketing\n#startupacademy"
Thursday,"A Case Study On Analytics For Retails","EY Experience Lab Session 
EY Booth Main Stage",09:00,09:30,"Partners Program",,"#artificialintelligence\n#data\n#retail&ecommerce"
Thursday,"Intellectual property at the service of digital enterprises","Intellectual property at the service of digital enterprises: essential points 
INPI booth, Agora space (D 30)
Virginie Afonso, direction de l’action économique, INPIRaphaël Lew, département des brevets, INPI",09:00,09:30,"Partners Program",,"#2050\n#b2bservices\n#startupacademy"
Thursday,"Valeo Introduction","Xavier Baillard, Valeo Startup and Technology Incubator Director",09:00,09:30,"Partners Program",,"#industry\n#mobility"
Thursday,"Ouverture Du Lab TF1 – Présentation Du Lab","With : Florence Caghassi
Location : Lab TF1 N12",09:00,10:00,"Partners Program",,"#entertainment\n#media"
Thursday,"SANOFI PERSPECTIVE : The Future of Health Care","Ameet Nathwani – Executive Vice President , Chief Medical Officer, Sanofi",09:00,09:20,"Partners Program",,"#data\n#health&wellbeing"
Thursday,"Day’s Program","Location; Lab Carrefour – N16",09:00,09:05,"Partners Program",,"#peoplematter\n#retail&ecommerce"
Thursday,"Pitch Live Startups Taiwan","Location; Lab Carrefour – N16",09:00,10:00,"Partners Program",,"#peoplematter\n#retail&ecommerce"
Thursday,"Convert Innovation And Technology Into Business Value","-Fintechs partners : accompagner les fintechs dans leur développement
-Innovation factory
-Innovation world connection
-AI for Business
Location: Stand KPMG – B24",09:00,10:00,"Partners Program",,"#b2bservices\n#blockchain\n#finance&insurance"
Thursday,"Taiwan speech","With:
Shinji Ueda (Strategy Manager)
Rami Baitiéh (CEO)
Location: Lab Carrefour – N16",09:10,09:25,"Partners Program",,"#peoplematter\n#retail&ecommerce"
Thursday,"PITCH SESSION:  DATA & HEALTH",,09:20,10:30,"Partners Program",,"#health&wellbeing\n#startupacademy"
Thursday,Opening,,09:25,09:30,Talks,"Stage 1",
Thursday,"Coaching Center: Fundraising successfully","Get your personal consultation with an expert!
Learn how to adapt your financial presentation to the specific requirements of a start-up: cash flow forecasts, tailored working capital financing in line with different growth hypotheses. Understand your financial package options and make sure you’re providing clear and accurate data to secure the financing you need.
*Free 1/2 hour consultation in French or in English at the booth B32.
Click here to register",09:30,12:30,"Partners Program",,"#finance&insurance\n#startupacademy"
Thursday,"Coaching Center: Streamlining your tax profile","Get your personal consultation with an expert!
Make sense of your taxation environment and identify opportunities to unlock research and innovation tax incentives, access to special New Business tax status. Plan your tax profile for each development phase from development and launch through expansion and on to maturity.
*Free 1/2 hour consultation in French or in English at the booth B32.
Click here to register",09:30,12:30,"Partners Program",,"#finance&insurance\n#startupacademy"
Thursday,"Coaching Center: Accelerating growth","Get your personal consultation with an expert!
Initiate an objective cross-business diagnostic, spot opportunities for efficiency improvement and develop business procedures suited to future development phases.
*Free 1/2 hour consultation in French or in English at the booth B32.
Click here to register",09:30,12:30,"Partners Program",,"#finance&insurance\n#startupacademy"
Thursday,"Robot Demos","Discover the Screenbot, an exciting robotic arm to explore VR, meet robot Tipron, a Japanese robot projector, and robot Heasy, the robot kiosk dedicated to the retail industry.",09:30,10:00,Pitches&Demos,"Discovery Arena","#retail&ecommerce\n#robotics"
Thursday,"HR Workshop #1- Berluti","Hosted by Yanis Bezine, Digital Project Manager, Berluti
Location : Lab LVMH M20",09:30,10:30,"Partners Program",,"#HR&talent\n#luxury\n#marketing"
Thursday,"Digital Culture Challenge by Fish","Location: Talent Connect’s Stand: B13",09:30,10:30,,"Talent Connect","#HR&talent\n#peoplematter"
Thursday,"Fast forward : How SNCF Is Stepping Into The Third Stage","With :
Benoît Tiers, Chief Digital & Information Officer
David Leborgne, SNCF Chief Digital Officer
Matthieu Jacquier, Directeur stratégie digitale SNCF pour le fonds",09:30,11:00,"Partners Program",,"#IoT\n#mobility"
Thursday,"Artificial Intelligence – The Next Digital Frontier",,09:30,10:00,Talks,"Stage 1",
Thursday,"Special Event with Isabelle KOCHER, CEO – ENGIE","Conférence de presse
« Le Nouveau Monde de l’Energie »
– Isabelle KOCHER, CEO – ENGIE
– Bertrand PICCARD, Initiator & Visionary – Solar Impulse
Modérateur: Erik ORSENNA, Ecrivain, Académicien
Location : Lab Engie M30",09:30,10:30,"Partners Program",,#positiveimpact
Thursday,"Connected but vulnerable – Cyberattacks on IoT","EY Alliance Session with Nokia 
EY Booth Main Stage
Cyber threats have reached unprecedented levels and are now affecting Internet of Things (IoT) devices, as well as end users. The industry is searching for solutions which are able to detect IoT malware, minimize the malware’s impact on the subscriber experience, and generate revenue by providing a superior protection service. (EY Booth Main Stage)",09:30,10:00,"Partners Program",,"#cybersecurity\n#IoT"
Thursday,"Matheo Software and INPI Data","Matheo Software and INPI data: presentation of Patent Pulse, a patent search, analysis and monitoring platform
INPI booth, Open Data space (D 30)
Jean-Marie Dou, CEO, Matheo Software",09:30,10:00,"Partners Program",,"#2050\n#data\n#marketing"
Thursday,"The Automotive Garage of Tomorrow","Valeo & Start-ups : Eiver, Karbook, Advanced Vector Analytics, Fusepoint, Hello Garage, Autoaid, Capte, WhoCanFixMyCar",09:30,11:15,"Partners Program",,"#industry\n#mobility"
Thursday,"General Welcome","Yves Meignié CEO VINCI Energies – Lydia Babaci-Victor Director of Innovation & Development VINCI Energies",09:30,10:00,"Partners Program",,"#energy\n#industry"
Thursday,"The Revolution For Hardware Availability","The revolution for hardware availability! Or how to be teleported anywhere in the world in less than 5 minutes
Expert Teleportation 
Location: Booth P16 Hall 1 ",09:30,10:00,"Partners Program",,"#education\n#nexttechs"
Thursday,"Getting More Girls Into STEM From An Early Age","« Getting more girls into STEM from an early age ». Check out our education platform designed to get girls interested in STEM.
Kidscode 
Location: Booth P16 Hall 1",09:30,10:20,"Partners Program",,"#education\n#peoplematter\n#positiveimpact"
Thursday,"Silicon Valley : the road to success ?","With:
Pierre Gaubil (Co-founders The Refiners)
Carlos Diaz (Co-founders The Refiners)
Location: Lab Carrefour – N16",09:30,10:00,"Partners Program",,"#peoplematter\n#retail&ecommerce"
Thursday,"EY Open Innovation Program Launch",,09:30,10:00,Pitches&Demos,Agora,
Thursday,"MC Presentation (role & program) & Air France Lab","Location: Lab Air France – N20",09:30,09:40,"Partners Program",,#mobility
Thursday,"People First! How To Build A Great Team","When it comes to taking your venture to the next stage finding the right people can make the difference between success and failure. Three successful entrepreneurs discuss the joys and challenges of building the right team.",09:35,10:05,Talks,"Stage 6","#peoplematter\n#startupacademy\n#womenrock"
Thursday,"Interview Star Entrepreneur : LinkedIn and Air France","« New challenges for engagement » #talentconnect
Location: Lab Air France – N20",09:40,10:10,"Partners Program",,"#HR&talent\n#startupacademy"
Thursday,"Driving The Future: Transforming Automakers Into Mobility Service Companies","As software and connectivity become central for car makers, how can they adapt and compete with new entrants from Silicon Valley?",09:45,10:00,Talks,"Stage 2",#mobility
Thursday,"How Startups Are Changing The Relationship Between Customers And Brands","How are chatbots, predictive behavior, personalization and tracking behavior technologies developed by startups changing the way customers relate to brands?",09:50,10:20,Talks,"Stage 5",#marketing
Thursday,"Welcome Speech","With :
Etienne Lecoeur/Guillaume Dolbeau
Location : Lab PMU M12",09:50,09:55,"Partners Program",,
Thursday,"3 Days Program Presentation","With :
Etienne Lecoeur/Guillaume Dolbeau
Location : Lab PMU M12",09:55,10:55,"Partners Program",,
Thursday,"Autonomous Cars: Can European Automakers Compete With Silicon Valley Giants?","Artificial intelligence aims to transform both the automotive industry and the passenger experience. Who will own the customers' data? What role will European auto companies play in constructing an alternative ecosystem?",10:00,10:30,Talks,"Stage 2","#artificialintelligence\n#mobility"
Thursday,"Conquering Cancer: How AI and Data-Driven Medicine Could Help","Welcome to data-driven medicine ! Advances in research on genomics hold the promise to win the battle against cancer. From diagnosis to targeted therapies, science is pushing the boundaries.",10:00,10:15,Talks,"Stage 4","#artificialintelligence\n#data\n#health&wellbeing\n#IoT\n#positiveimpact"
Thursday,"How to get your first customers with the help of Google Adwords ?","Location: Booth G09",10:00,11:00,"Partners Program",,"#marketing\n#startupacademy"
Thursday,"Drone Demos","Discover the latest drone technologies: Fotokite, a drone you control like a kite, Aerovinci with its self-sustaining drone docking station, H3 Dynamics with its DroneBox aiming at charging drones’ batteries, and Flyability with its collision-tolerant drones for inaccessible places.",10:00,10:40,Pitches&Demos,"Discovery Arena","#drones\n#entertainment\n#mobility"
Thursday,"Connected Commerce UX By GIE Cartes Bancaires","Let’s create a new user experience in connected commerce, including paymentLearn more about this award
Come and discover these pitching startups:
– Bam
– Barnaby
– DigiFood
– Hanker
– OneWave
– Pay Yes
– Tag Fabric
– TooGoodToGo
 ",10:00,11:30,Pitches&Demos,Pitch,"#artificialintelligence\n#finance&insurance"
Thursday,"Techmeeting – Best of French Startups","You are providing an innovative solution based on Artificial Intelligence, AR/VR or IOT
Be one of the French 15 startups to pitch your solution to a panel of international large corporations including Accenture, Cisco, Oracle,
TCL Communication on the booth of Paris Region @VivaTechnology
Location: Paris Region Booth G34",10:00,12:00,"Partners Program",,"#AR&VR\n#artificialintelligence\n#IoT"
Thursday,"Datascience Challenge by DataScientest","Location: Talent Connect’s Stand – B13",10:00,11:00,,"Talent Connect","#HR&talent\n#peoplematter"
Thursday,"How ‘Café de l’Avenir’ Started","Françoise LEFEVRE, president of the French association Café de l’avenir.
Location: Talent Connect’s Stand – B13",10:00,10:20,,"Talent Connect","#HR&talent\n#peoplematter\n#positiveimpact"
Thursday,"The New AI Economy",,10:00,10:25,Talks,"Stage 1",
Thursday,"Generating Real-World Results at Pace from Industry Convergence","Generating Real-World Results at Pace from Industry Convergence
There’s no question that innovation is driving massive change in the tech, media and telecoms space. But how do you turn innovative ideas into real-world applications? As industries converge, it’s no longer about “make” vs “buy”. Leading companies need to be innovators of business models while selectively leveraging venture-backed targets as strategic infusions of capability. Only then will TMT companies be able to capitalize on convergence and turn it into sustainable growth.
Greg Cudahy, Global Technology, Media & Entertainment and Telecommunications Leader, EY",10:00,10:30,"Partners Program",,"#entertainment\n#nexttechs\n#telco"
Thursday,"Pitch AccorHotels Innovation Awards Group 2",,10:00,11:00,Pitches&Demos,,"#hospitality\n#marketing\n#startupacademy"
Thursday,"Pitchs Start-Up","Location : Lab Orange M07",10:00,10:30,"Partners Program",,#startupacademy
Thursday,"Transforming Reality Contest",,10:00,11:30,Pitches&Demos,Agora,"#AR&VR\n#b2bservices\n#IoT\n#retail&ecommerce\n#robotics"
Thursday,"Les Echos’ Editorial Line","Avec:
– Nicolas Barré (Directeur de la rédaction, Les Echos)
– Marion Moreau (Sigfox) – modératrice.",10:00,10:15,"Partners Program","Les Echos - Le Parisien",#media
Thursday,"INPI Data","INPI data: intellectual property data intelligence (Open Data)
INPI booth, Agora space (D 30)
Séverine Le Brun, département diffusion Open Data, INPI",10:00,10:30,"Partners Program",,"#2050\n#b2bservices\n#startupacademy"
Thursday,"Power and Grid","Meeting our Challenges: Power and Grid
Arnaud Banner – CTO Omexom",10:00,10:30,"Partners Program",,"#energy\n#industry"
Thursday,"Start-up Pitch « My Well-being at work »","Start-up: Greenme, AirSerenity, Axible, Silent Space
Location: Lab La Poste M11",10:00,10:30,"Partners Program",,#IoT
Thursday,"« Start-up Pitch : Quelles Innovations Pour Les Enfants ? »","With : Emilie Baus
Wakatoon – Box Ze Day – Play’n’code – Magic Xperience
Location : Lab TF1 N12",10:00,11:00,"Partners Program",,"#entertainment\n#media"
Thursday,"Learning With Your Hands In The Digital Age.","Learning with your hands in the digital age.
Marbotic 
Location: Booth P16 hall 1",10:00,10:20,"Partners Program",,"#education\n#funfunfun\n#IoT"
Thursday,"Pitchs Startups – ADTECH","Location; Lab Carrefour – N16",10:00,10:45,"Partners Program",,"#marketing\n#retail&ecommerce\n#startupacademy"
Thursday,"Strategy, Customer & Operations","-Demand Driven SCM 2.0
-Industrie 4.0
-Expérience Client
Location: Stand KPMG – B24",10:00,11:00,"Partners Program",,"#b2bservices\n#data\n#industry"
Thursday,"Customer Compass (Demo)","Location: Stand KPMG – B24",10:00,11:00,"Partners Program",,"#b2bservices\n#data\n#hardware"
Thursday,"Arcturus Group","Lobby International ayant notamment défendu le cas de la Start-up HEETCH
With : Agnes Dubois Colineau/ Directrice Générale Executive & Associée
Location : Lab Nextdoor C42",10:00,10:30,"Partners Program",,"#data\n#nexttechs"
Thursday,"Big Company, Small Startup: Building Innovative New Businesses Within Fortune 500’s","How to leverage the scale, brand, and resources of major corporations to build innovate new companies who can move like startups but with the reach of a global brand.",10:05,10:15,Talks,"Stage 6","#industry\n#startupacademy"
Thursday,"KEYNOTE PMU EXEC Alain Resplandy-Bernard","With :
Etienne Lecoeur/Alain Resplandy-bernard
Location : Lab PMU M12",10:05,10:15,"Partners Program",,#entertainment
Thursday,"Big Data Startups Pitches","Big Data Startups Pitches",10:10,00:00,"Partners Program",,"#data\n#startupacademy"
Thursday,"Interview Star Entrepreneur : Vente Privée","« From Startup to Scaleup »
Location: Lab Air France – N20",10:10,10:30,"Partners Program",,#startupacademy
Thursday,"How Secure Is Blockchain?","Can blockchain provide the security and transparency needed to help address trust issues inherent with trading systems?",10:15,10:35,Talks,"Stage 3",#blockchain
Thursday,"CRISPR: The Disruptive Tool That Lets Us Edit Our Genes","Researchers have discovered a cheaper, faster and more accurate genome editing tool: CRISPR. CRISPR allows researchers to permanently modify genes in living cells and organisms and, in future, may make it possible to correct mutations at precise locations in the human genome to treat genetic causes of disease. How does CRISPR work and what are the concrete applications? Why is it disruptive and what are the ethical questions surrounding its use?",10:15,10:30,Talks,"Stage 4","#2050\n#health&wellbeing\n#nexttechs"
Thursday,"Why Founders Must Care About Social Impact","Social impact matters to the value of a business in so many different ways. Learn from the experience of Rachel Delacour, who sold her startup to Zendesk for $45 million in 2015.",10:15,10:25,Talks,"Stage 6","#b2bservices\n#data\n#peoplematter\n#positiveimpact\n#startupacademy"
Thursday,"Startup Pitch Session Challenge #3 – PMU & LIVE","SUPPER team Introduction,
With : Pierre Desangles and Jury Presentation
BRIZICAM
IMMERSIV
EQWALL
VOGOSPORT
ARIONEO
VRV PROD
Orah
EYETOK
Livelike
Eye live
Openfield
10 min pitch per start-up
Location : Lab PMU M12
 
 ",10:15,12:30,"Partners Program",,#entertainment
Thursday,"From Apple to LVMH, the new digital challenges",,10:15,10:35,"Partners Program","Les Echos - Le Parisien",#luxury
Thursday,"The Rise Of The Botniks","In the evolution of the conversational web, we will use voice, biometrics, augmented reality, virtual reality and some other forms of reality yet to be defined – including, one day, perhaps, a direct interface to the human brain. A world where websites and apps might disappear and next generation Botniks will be part of our everyday life.",10:20,10:35,Talks,"Stage 5",#marketing
Thursday,"Money Talk: Should You Raise Quick, Big Or Smart?","It’s not just how much you raise, is it? A discussion between an outstanding entrepreneur (Emmanuel Arnaud who just raised €33 million for GuestToGuest), a dynamic investor (Hoxton Ventures' Hussein Kanji, a representative of a new generation of European VCs) and an expert on valuations (Audrey Destang, COO of EarlyMetrics).",10:25,10:55,Talks,"Stage 6","#finance&insurance\n#startupacademy"
Thursday,"KEYNOTE PMU RETAIL","With : Etienne Lecoeur/Yann Wanes
Location : Lab PMU M12",10:25,10:35,"Partners Program",,#retail&ecommerce
Thursday,"Self-Driving Cars and Beyond: Infusing LiDAR Into Everyday Life","Many people have heard about the groundbreaking use of LiDAR in autonomous vehciles. The remote sensing method uses light in the form of a pulsed laser to measure ranges, allowing a car to ""see"" the world around it. However, frew understand the full extent of the technology's potential impact. This keynote will explore the important role LiDAR is expected to play in autonomous driving and other industries, including 3D mapping and security.",10:30,10:45,Talks,"Stage 2",#mobility
Thursday,"How Tech Is Tackling The Way Chronic Diseases Are Managed","Finding a way to better diagnose and manage chronic conditions is critical to the future of healthcare. In the US alone 50% of the population suffers from chronic conditions and 25% have two or more chronic conditions. This number is expected to skyrocket as the Baby Boomer population ages. In Europe, chronic diseases, such as heart disease, stroke, cancer, chronic respiratory diseases and diabetes, are by far the leading cause of mortality in Europe, representing 77% of the total disease burden and 86% of all deaths. How can tech help?",10:30,11:00,Talks,"Stage 4","#health&wellbeing\n#IoT"
Thursday,"Virtual Interview In A Special Photo Booth","Apply for IT job offers !
Location: Talent Connect’s Stand – B13",10:30,11:30,,"Talent Connect","#HR&talent\n#peoplematter"
Thursday,"All About Experience, From Innovation To Realization. Performance First.","Join Adobe, Publicis ETO & DigitasLBi (from Publicis Groupe) to unveil 10 game-changing insights into the Experience-led business. Publicis agencies will share client cases from idea/innovation, test & learn, creativity, pilots through to golive. Massive quantities of data, an explosion of different devices and screens coupled with skyrocketing customer expectations are forcing businesses to completely rethink their approach to communicating with consumers. This next wave of business transformation will be all about experience. To keep customers engaged, leading brands are now reimagining their experiences to drive brand loyalty and growth.
Adobe Experience Cloud is the industry-leading one-stop shop for everything your business needs to deliver these amazing experiences.
Speakers :
Gregory Lecointe, Director of Business Development at Publicis ETO:
A data marketing specialist and evangelist, Gregory has a true passion for helping organizations and executives realize their digital transformation. Through many years of delivering and selling media, marketing, and ecommerce data platforms, Gregory firmly believes that business growth and successful transformation can only succeed with the convergence of strong brand strategy, innovative business practices, and in-depth data knowledge. At Publicis ETO, Gregory has the rare opportunity to lead the development of an agency that brings all these competencies together to transform the traditional models and break the status-quo.Vijayanta Gupta, Head of Product and Industry Marketing, EMEA, Digital Marketing at Adobe:
Vijayanta Gupta is the Head of Product and Industry Marketing at Adobe Systems Europe:
He leads Adobe’s Industry-specific Go To Market initiatives as well as the Adobe Marketing Cloud Product Marketing initiatives across Europe, Middle-East and Africa regions. He advises senior executives across industries on their Digital Strategy and his perspectives on digital transformation is regularly published at CMO.com. He also serves on the advisory board of Jigserv Digital, a digital marketing company in India, of which he is one of the co-founders. Prior to joining Adobe, Vijayanta has held multiple leadership roles in Accenture, Microsoft and Tata Consultancy Services across UK/Europe, USA and India. Vijayanta holds an MBA in Strategic Marketing, a Master’s in Computer Applications and a Bachelors in Physics. He is based out of London and thoroughly enjoys the multi-cultural experience that the city provides.
Yvan Saule, Head of Technology/CTO at DigitasLBi France :
Yvan graduated from the Ecole des Mines in 2002 with a MSC. He joined the ITECOR International group (partially hold by Nestlé) in 2004 and then took on the responsibilities of Knowledge Manager and Head of Technology until 2008. He oversaw the architecture practice for large groups such as Nestlé, PMI or some swiss private banking companies. He eventually joined DigitasLBi as Senior Project Manager. In 2012, he was appointed « Technology Growth & Innovation Director » and managed most of the technology related activities. In August 2015, Yvan was appointed CTO of DigitasLBi France.
 
 ",10:30,12:30,"Partners Program","Workshop 2","#data\n#marketing\n#nexttechs"
Thursday,"BNP Paribas/Plug and Play Global  Acceleration Programme","As part of an ambitious Open Innovation strategy, the aim of the BNP Paribas – Plug and Play partnership is to accelerate digital transformation through cooperation with startups.
With:
Laurent HERBILLON ,  Head of Open Innovation & Startup Cooperation at BNP Paribas  International Financial Services
Hélène MOULY,  Head of Acceleration and Partnership at BNP Paribas International Financial Services
Omeed MEHRINFAR, Regional Director, FinTech – Europe, Plug and Play",10:30,11:00,"Partners Program",,"#data\n#finance&insurance\n#startupacademy"
Thursday,"EY Experience Lab session:  Cyber Intelligence or how to prevent cyber risk ?","EY Experience Lab session:  Cyber Intelligence or how to prevent cyber risk? 
Marc Ayadi, Olivier Patole; Ghazi Maatoug
EY Booth Main Stage",10:30,11:00,"Partners Program",,"#artificialintelligence\n#civictech\n#cybersecurity"
Thursday,"Timbuktoo and INPI Data","Timbuktoo and INPI data: Presentation of TIMnaming, a collaborative name creation platform
INPI booth, Open Data space (D 30)
Delphine Parlier,founder, CEO, Timbuktoo",10:30,11:00,"Partners Program",,"#2050\n#data\n#marketing"
Thursday,"Skills Mapping  Dataveyes & ManpowerGroup Solutions","A new data visualization interface to help people understand, operate and communicate their HR data.
Isabelle LAMOTHE, DG ManpowerGroup Solutions Caroline GOULARD, CEO Dataveyes
 ",10:30,11:00,"Partners Program",,"#HR&talent\n#peoplematter"
Thursday,"Challenge #1 Robots & Bots for Public transport Stakes and Vision for RATP Group Panel","With :
Hélène GUILLOU, Transport & Infrastructure unit Innovation Manager at RATP Group,
Sarah GUILLOUET, Logistics Platform Manager at RATP Group,
Stéphane CARISTAN, Commercial unit innovation Manager at RATP Group
Location : Lab RATP M16",10:30,10:50,"Partners Program",,"#IoT\n#mobility\n#positiveimpact\n#smartcities"
Thursday,"Smart Process and Maintenance","Meeting our challenges: Smart Process and Maintenance
Arnaud Banner – CTO Omexom",10:30,11:00,"Partners Program",,"#energy\n#industry"
Thursday,"The Revolution For Hardware Availability","The revolution for hardware availability! Or how to be teleported anywhere in the world in less than 5 minutes
Expert Teleportation
Location: Booth P16 Hall 1
 ",10:30,11:00,"Partners Program",,"#education\n#nexttechs"
Thursday,Competition,"Competition: take a selfie with Skillisy and post it on Twitter with the #Skillisy hashtag, and you can win a « smartbox » gift experience.
Skillisy 
Location: Booth P16 Hall 1 ",10:30,10:45,"Partners Program",,"#education\n#startupacademy"
Thursday,"Empowering Kids To Learn","Empowering kids to learn: with video capsules of the subjects studied in class, students can become more autonomous and learn more easily.
Apple Solution Expert
Location: Booth P16 Hall 1",10:30,10:50,"Partners Program",,"#education\n#funfunfun\n#peoplematter"
Thursday,"Start-up pitch session – DRONES","Location: Lab Airbus C07",10:30,11:20,Pitches&Demos,,"#drones\n#startupacademy"
Thursday,"Live Demo Yoga Book – Different Creates Better│ Creativity & Productivity Experiential","Location: Lenovo Stand – J12",10:30,11:00,"Partners Program",,#hardware
Thursday,"Real World Applications For Blockchain","Blockchain technology is being applied not just to financial services but to the health sector, digital identity services, shipping and retail.",10:35,11:05,Talks,"Stage 3","#blockchain\n#civictech\n#retail&ecommerce"
Thursday,"Messaging Apps, Chatbots And The New Face Of Companies’ Digital Brands",,10:35,11:05,Talks,"Stage 5",#media
Thursday,"The Digital Transformation Of Groupe Les Echos","Avec:
Christophe Victor (Directeur général délégué, Groupe Les Echos)
Bérenice Lajouanie (Editrice, Les Echos)
Marion Moreau (Sigfox) – modératrice",10:35,10:50,"Partners Program","Les Echos - Le Parisien",#media
Thursday,"« La Poste Keynote » Innovation and New Product: Talk To Pay; Digiposte +","Location : Lab La Poste M11",10:35,10:45,"Partners Program",,#finance&insurance
Thursday,"LIFE: LVMH Initiatives For the Environment","Sylvie Bénard, Environment Director, LVMH
Location : Lab LVMH M20",10:40,11:10,"Partners Program",,"#energy\n#luxury\n#positiveimpact"
Thursday,"Voice is the new UI","Voice is expected to become the next billion dollar computing platform, surpassing mobile phones and apps. So every big tech company is now racing to build their own AI-powered voice platforms.",10:45,11:05,Talks,"Stage 2","#2050\n#artificialintelligence\n#hardware\n#nexttechs"
Thursday,"Fireside Interview",,10:45,11:15,Talks,"Stage 1",
Thursday,"Open Innovation: What’s up Between Corporates and Startups","With:
Jean-Marc Vittori (Editorialiste, Les Echos)
Marion Moreau (Sigfox) – modératrice.",10:50,11:20,"Partners Program","Les Echos - Le Parisien","#b2bservices\n#media"
Thursday,"From Data Science to Data Visualisation","Olivier Brechon (Talan)",10:50,11:10,"Partners Program",,"#data\n#peoplematter"
Thursday,"[Google Workshop: How To Make The Most Of Data] Introduction","Running a data-driven business is a challenge for both startups and corporations, for reasons that are cultural as much as organizational and technological. Google's experts will teach companies large and small how to avoid common pitfalls and seize opportunities.",10:55,11:00,Talks,"Stage 6","#data\n#startupacademy"
Thursday,"AI Is Changing The Face of Healthcare","Artificial intelligence is often better than humans at interpreting symptoms and medical imagery and can help relieve the strain on national healthcare services and hospitals. It could help improve people’s life expectancy and help deliver healthcare to millions of people.",11:00,11:20,Talks,"Stage 4","#artificialintelligence\n#health&wellbeing"
Thursday,"How to grow your customer base with mobile apps ?","Location: Booth G09",11:00,12:00,"Partners Program",,"#marketing\n#startupacademy"
Thursday,"The Future Of Customer Support: How To Leverage The Power Of Bots","Want to revolutionize your customer support? Drastically improve its quality and responsiveness? Understand the power of bots built by artificial intelligence with Recast.AI, the leading enterprise bot platform, and go home with the draft of the best usecase for your company.
Speakers :
Pierre-Edouard Lieb, Partnerships Manager at Recast.Ai
Justine Baron, Marketing and Communication at Recast.Ai",11:00,12:30,"Partners Program","Workshop 1","#artificialintelligence\n#IoT\n#nexttechs"
Thursday,"Sparkshow « Smart Business & Smart Health » by EDF Pulse","As sponsor of the VivaTech 2017 Discovery Zone, EDF will present the 13 finalists of the EDF Pulse prize. Finalists will pitch their solutions to an audience of journalists, influencers, and the public during a SparkShow.
Attendees will have the opportunity to vote for their favorite finalists and win special prizes including connected objects packs and rugby tickets.",11:00,12:00,Pitches&Demos,"Discovery Arena","#AR&VR\n#health&wellbeing\n#industry\n#positiveimpact"
Thursday,"Paris 2024 : #MadeForSharing","Explore the future Olympic and Paralympic venues of Paris 2024 thanks to our touch-screen table that will guide you through the stadiums of 2024.
Location: Paris 2024 Booth – K35 – Accelerate Zone.",11:00,13:00,"Partners Program",,"#paris2024\n#positiveimpact\n#smartcities"
